460,561,764,1863,1892,1171,2861,2683,736,-1274
249,445,307,3102,1594,673,2925,2841,2077,-697
489,582,428,3212,1447,586,2902,3011,2048,-449
639,525,469,664,345,372,2682,1184,25,-61
308,272,328,1046,702,363,2752,1262,507,-329
419,574,664,1682,1580,994,2793,2382,671,-1019
470,672,807,1968,2046,1279,2898,2888,757,-1388
407,670,546,2682,1851,952,2893,3003,1510,-1000
206,438,275,3300,1443,668,2889,2877,2259,-565
192,342,255,3289,1362,518,2947,2757,2305,-446
282,385,242,3184,1317,548,2943,2718,2200,-447
229,363,233,3063,1305,516,2929,2613,2126,-452
218,290,236,2775,1223,457,2956,2377,1922,-431
233,451,511,2161,1140,494,2793,2229,1256,-398
373,351,436,1531,1104,624,2783,1832,773,-615
374,394,378,1504,1002,540,2847,1751,783,-509
311,510,418,2455,1516,750,2916,2564,1473,-768
210,335,221,3148,1373,539,2934,2666,2205,-506
288,381,273,2964,1250,484,2889,2573,2019,-397
354,536,378,3020,1351,605,2884,2801,1950,-462
354,477,531,1709,1075,458,2884,1988,867,-405
369,362,457,1305,1053,521,2710,1678,597,-553
432,584,714,1898,1867,1198,2861,2678,784,-1279
446,646,704,2009,1903,1207,2964,2778,860,-1277
203,346,234,3098,1329,565,2947,2640,2154,-495
542,584,487,2668,1047,572,2847,2615,1580,-255
198,292,235,2581,1189,424,2898,2244,1776,-426
455,385,334,2601,1126,429,2911,2382,1681,-324
311,381,411,1550,1038,656,2788,1816,800,-590
429,402,369,1309,717,456,2671,1540,634,-302
398,576,670,1917,1755,1090,2898,2594,844,-1149
270,555,338,3033,1476,664,2851,2830,1980,-592
224,427,264,3356,1306,540,2951,2830,2327,-388
352,460,303,3309,1291,550,2969,2862,2241,-370
240,318,252,2615,1081,403,2960,2253,1785,-321
298,436,407,1942,866,481,2813,1965,1128,-280
427,572,676,1882,1738,1095,2902,2577,808,-1145
416,621,651,2090,1645,909,2956,2628,1004,-926
410,543,343,3301,1393,519,2947,2950,2192,-391
251,384,254,3159,1370,567,2960,2725,2176,-497
466,582,324,3409,1344,491,2907,3008,2274,-316
252,311,250,2870,1224,498,2951,2465,1975,-428
264,365,289,2736,1233,439,2884,2424,1844,-401
288,355,334,1341,981,550,2731,1595,696,-557
438,376,290,3080,1188,469,2938,2655,2082,-313
167,306,245,2613,1008,357,2880,2195,1808,-250
269,424,504,2136,992,487,2847,2159,1241,-305
248,319,319,1447,970,496,2832,1609,810,-509
466,522,641,1486,1328,882,2828,2140,547,-833
415,490,652,1984,1884,1194,2902,2654,907,-1310
475,714,697,2425,1744,957,2832,2939,1210,-922
252,466,330,2800,1363,628,2925,2607,1827,-560
723,729,523,3938,1488,602,2934,3606,2506,-279
253,334,228,3311,1329,537,2947,2758,2325,-439
164,266,190,2563,997,396,2889,2124,1799,-302
293,285,361,1423,1149,629,2704,1700,751,-709
400,594,715,2031,1805,1147,2884,2721,899,-1178
315,557,364,3515,1548,614,2902,3142,2350,-506
205,303,196,3173,1495,592,2943,2703,2238,-631
308,387,283,3370,1527,635,2964,2940,2310,-593
288,443,355,3139,1388,538,2889,2800,2096,-451
161,274,204,2398,1106,489,2898,2096,1647,-459
321,414,417,1599,1074,598,2813,1861,835,-561
458,520,659,1727,1704,1065,2793,2446,705,-1149
352,512,360,3597,1515,574,2916,3156,2427,-453
287,346,233,2879,1152,428,2973,2444,1987,-332
203,344,239,2515,1079,447,2916,2202,1706,-366
291,390,533,1680,1552,914,2742,2178,806,-1033
373,509,630,1744,1709,939,2788,2390,767,-1086
380,530,657,1916,1995,1182,2947,2660,849,-1383
239,525,377,2770,1572,733,2875,2728,1754,-746
318,420,283,3701,1495,596,2920,3127,2570,-476
202,378,369,2180,920,419,2866,2039,1373,-259
291,405,410,1613,936,478,2856,1784,874,-396
374,514,651,1854,1765,1068,2832,2514,824,-1174
203,315,204,3127,1360,603,2920,2646,2193,-550
487,561,469,3245,1520,752,2832,3105,2035,-586
358,433,280,2379,1053,428,2893,2202,1537,-328
